people_ID,Infect_Prob
5942,52.92262928102255
18664,52.96739786431654
5603,51.585469872017974
5649,52.875818155470014
5099,52.68576490488381
18749,51.4519054034261
5228,52.872665425698486
5559,52.769375740105694
5220,52.7571018222243
5476,52.97160256526059
5260,52.879291023399134
17638,52.85561767078552
18635,52.76517232506051
18794,62.278784653759736
5263,51.47785549857818
17680,66.19726548135353
18030,52.749767402856584
18090,52.89239353617905
18455,52.43876240400601
18155,52.84367160122134
18116,63.56134538598282
18144,52.89279828537096
5218,62.691755556567024
5386,52.62137651406462
18105,52.846658694114126
5735,52.46762225401934
5900,52.87709928384615
18391,51.82411439171808
5786,52.85630444782111
18639,52.654680684477654
17984,52.588265279604535
18274,51.51490366081963
5425,52.90260968888444
6076,51.69073236225598
18545,52.65701217807452
17697,67.39749944789783
6137,52.872275461478196
6083,52.768493195576944
17730,52.83474607224615
5896,61.63077534212475
18906,52.731755102611075
17808,52.71535533569858
6078,52.65483893396745
5516,51.69622980531178
18093,52.87709928384615
6120,52.87677152858339
18154,52.91412104891128
17935,52.87183901386566
18769,65.0381271272303
18264,52.6538952998286
18076,51.17154477293853
18035,52.79451618768987
18051,52.523303959327635
18676,52.76947072903741
5332,52.863692508019035
5898,63.72980954184503
18370,52.77543131342344
17706,52.40507869401099
5198,52.87169871855164
18360,52.75500320965309
18240,52.77395963415812
18691,52.770040623212225
5768,52.80357383875966
18315,52.81822911972586
18776,52.76142032217054
6225,52.76400917299232
17983,61.437010189562756
17973,52.725875778843246
5805,60.204044345741615
5500,52.91930215357139
5305,52.75368948902347
18243,52.864963398126385
5169,52.81293466758031
5258,52.7983246462344
17810,63.814406546841816
5714,52.77585322648215
6070,50.892878842539346
5959,63.54047617220537
18771,52.79758192872878
17765,52.5250441760092
18822,52.81461269898874
17735,63.88943139513359
17966,51.82144448588954
18861,52.88362459439997
18236,51.52171902072706
18750,70.71385092933588
17809,58.01117796636459
6049,52.88295706980234
18465,52.536318955673856
6201,53.00239685284884
18877,52.74816791477155
5087,52.74182850108601
17742,51.44066154658384
17941,62.52006298412116
18421,52.765224869623864
18489,52.64499129725426
6299,65.25684354190707
18428,52.77096430194966
5563,58.753415007786565
18796,60.21870902641642
5849,52.82148622827889
5661,52.76944767334733
5893,52.77290873007033
5378,59.24011040660995
5622,52.76247235895177
5823,51.6712164336815
18521,51.18891254677638
5502,52.57785153368947
18785,51.541845914496605
17783,52.92214095321617
18424,57.92296021661888
18147,52.56767945841532
18881,57.217491267695074
18851,51.5977611373465
17686,52.68187821791606
5100,52.87677152858339
5213,52.362382823081006
18252,51.28446101619698
5576,52.72874228008132
18050,52.516780156381785
5875,51.662317787751086
6059,52.845230102930444
18599,52.494754522093
5173,52.50111255911557
5461,51.464325157224835
5151,62.09482439723536
5266,51.5720158837714
5514,66.35606359621313
5224,52.752989229387616
18069,51.469490605410265
5587,51.45180342844162
17874,52.55111381488074
5536,51.16625414947848
5215,52.769528730070625
5400,60.64201647688608
17857,52.50470256876971
6043,59.78086719343811
18330,51.377099846703295
18333,52.784880735148754
17788,52.733736818365074
18332,64.75018646444032
17836,52.411489685616175
5247,51.81721777959108
5922,52.4067764579462
18641,64.11458069044355
5951,64.00869896509535
18807,52.76173853109399
18293,62.861559805534824
18775,52.634962128205935
5601,52.781009172499324
5102,52.795117538489905
18464,52.68831179121436
17713,52.87677152858339
18557,52.79850797020713
18854,52.103364483186944
18401,52.79440325021403
18699,65.51708099433392
5706,60.5439727257042
5747,52.76290702900665
5496,51.55901048016213
18308,51.588301780283274
5345,60.645121904995825
18525,52.63436512137262
18258,59.66764092609707
6062,52.88751042860737
17921,50.87692210311028
5303,52.78415969067008
18592,52.86979443527648
5814,51.366046516086605
18805,52.77624902476686
5910,52.10892038395302
5201,52.23201190787096
5724,66.59804991081634
17693,52.70738055065981
5407,52.81995772270561
18617,52.800219203201976
18173,52.58396063783002
18875,52.59151400867607
5225,51.588482000333826
5858,52.637165768550155
5091,52.74832030751293
5254,52.748804452830385
18801,52.36527585461814
6009,52.618714401536806
18149,51.425333230438305
6105,51.08924372793021
5974,52.81058502396954
17967,62.711340303923265
5781,52.72874228008132
5834,52.745174649315665
17683,51.507385052539185
5338,52.61257825449918
18400,61.89779652642595
18633,51.55657522741218
6162,52.33618258366896
18598,52.5102790147889
5212,52.870512296065066
18731,50.66406344770014
18177,52.4798650773829
5232,51.55915349828482
